step,sync_index
0,0.23124600968537415
1,0.233161497816177
2,0.23508782545833395
3,0.23702499722224626
4,0.2389730167596102
5,0.24093188674755697
6,0.2429016088730253
7,0.24488218381739327
8,0.24687361124139784
9,0.24887588977037217
10,0.25088901697982924
11,0.25291298938142287
12,0.2549478024093172
13,0.25699345040699645
14,0.2590499266145467
15,0.2611172231564427
16,0.263195331029874
17,0.26528424009364066
18,0.26738393905765584
19,0.2694944154730867
20,0.2716156557231692
21,0.27374764501472787
22,0.27589036737043887
23,0.2780438056218645
24,0.2802079414032968
25,0.2823827551464401
26,0.2845682260759664
27,0.28676433220597247
28,0.2889710503373732
29,0.29118835605625526
30,0.2934162237332249
31,0.29565462652377233
32,0.2979035363696814
33,0.3001629240015064
34,0.3024327589421391
35,0.304713009511486
36,0.30700364283227366
37,0.30930462483699817
38,0.3116159202760316
39,0.3139374927268968
40,0.3162693046047169
41,0.3186113171738468
42,0.3209634905606858
43,0.3233257837676719
44,0.3256981546884515
45,0.32808056012421516
46,0.3304729558011906
47,0.3328752963892705
48,0.3352875355217602
49,0.33770962581621794
50,0.34014151889635824
51,0.3425831654149865
52,0.34503451507792543
53,0.34749551666889084
54,0.34996611807526934
55,0.35244626631474574
56,0.35493590756272303
57,0.3574349871804717
58,0.3599434497439426
59,0.3624612390731715
60,0.36498829826219487
61,0.36752456970940106
62,0.3700699951482235
63,0.3726245156780888
64,0.37518807179552155
65,0.37776060342530454
66,0.380342049951589
67,0.38293235024884675
68,0.3855314427125468
69,0.38813926528944087
70,0.39075575550733505
71,0.39338085050422306
72,0.39601448705665104
73,0.39865660160718225
74,0.4013071302908292
75,0.4039660089603136
76,0.40663317321001824
77,0.4093085583984867
78,0.4119920996693332
79,0.41468373197041597
80,0.4173833900711336
81,0.4200910085776999
82,0.4228065219462533
83,0.42552986449366154
84,0.42826097040587796
85,0.4309997737437115
86,0.4337462084458728
87,0.43650020832916475
88,0.43926170708568313
89,0.4420306382769022
90,0.4448069353245221
91,0.44759053149796
92,0.4503813598983709
93,0.45317935343909305
94,0.45598444482241307
95,0.45879656651256184
96,0.4616156507048464
97,0.46444162929084665
98,0.4672744338195976
99,0.470113995454698
100,0.47296024492728883
101,0.47581311248485836
102,0.4786725278358347
103,0.4815384200899441
104,0.4844107176943138
105,0.48728934836532106
106,0.49017423901618684
107,0.49306531568033646
108,0.4959625034305509
109,0.49886572629395187
110,0.5017749071628665
111,0.5046899677016404
112,0.5076108282494676
113,0.5105374077193278
114,0.513469623493128
115,0.5164073913131589
116,0.5193506251699892
117,0.5222992371869317
118,0.5252531375012294
119,0.5282122341421194
120,0.5311764329059456
121,0.534145637228504
122,0.5371197480548141
123,0.5400986637065224
124,0.5430822797471591
125,0.5460704888454746
126,0.5490631806370964
127,0.5520602415847619
128,0.5550615548373875
129,0.5580670000882492
130,0.5610764534325596
131,0.5640897872247367
132,0.5671068699356699
133,0.5701275660102998
134,0.5731517357258372
135,0.5761792350509551
136,0.5792099155063015
137,0.5822436240266831
138,0.5852802028252833
139,0.5883194892602878
140,0.5913613157042895
141,0.5944055094168663
142,0.5974518924207172
143,0.6005002813817617
144,0.603550487493602
145,0.6066023163667618
146,0.6096555679231134
147,0.6127100362959117
148,0.6157655097358523
149,0.618821770523584
150,0.6218785948890856
151,0.6249357529383414
152,0.6279930085877272
153,0.6310501195065301
154,0.6341068370680112
155,0.6371629063094226
156,0.6402180659013762
157,0.643272048126959
158,0.6463245788709747
159,0.649375377619683
160,0.6524241574713908
161,0.6554706251582402
162,0.658514481079512
163,0.6615554193467547
164,0.6645931278410226
165,0.667627288282486
166,0.6706575763126505
167,0.673683661589407
168,0.6767052078950885
169,0.6797218732577069
170,0.6827333100854883
171,0.6857391653148142
172,0.6887390805716346
173,0.6917326923463905
174,0.6947196321824474
175,0.6976995268780132
176,0.7006719987014739
177,0.7036366656200501
178,0.7065931415416433
179,0.7095410365697066
180,0.7124799572709356
181,0.715409506955555
182,0.7183292859699257
183,0.7212388920011803
184,0.7241379203935567
185,0.7270259644760652
186,0.7299026159011028
187,0.7327674649935927
188,0.7356201011102008
189,0.7384601130081524
190,0.7412870892231472
191,0.7441006184558435
192,0.7469002899663542
193,0.7496856939761761
194,0.7524564220769496
195,0.7552120676454148
196,0.7579522262639132
197,0.7606764961457567
198,0.7633844785647642
199,0.766075778288234
200,0.7687500040126096
201,0.7714067688010583
202,0.7740456905221669
203,0.7766663922889326
204,0.7792685028972003
205,0.7818516572626784
206,0.7844154968556338
207,0.78695967013236
208,0.7894838329624677
209,0.7919876490510506
210,0.7944707903547431
211,0.7969329374906796
212,0.7993737801373472
213,0.8017930174263135
214,0.8041903583238039
215,0.8065655220010984
216,0.8089182381927174
217,0.811248247541374
218,0.813555301928675
219,0.8158391647905769
220,0.8180996114166146
221,0.8203364292319518
222,0.8225494180613455
223,0.8247383903741344
224,0.8269031715094292
225,0.8290435998807256
226,0.8311595271592175
227,0.8332508184351531
228,0.8353173523566572
229,0.8373590212455005
230,0.8393757311893921
231,0.8413674021104482
232,0.84333396780958
233,0.8452753759866386
234,0.847191588236239
235,0.849082580019293
236,0.8509483406103617
237,0.8527888730210529
238,0.8546041938997622
239,0.856394333408166
240,0.8581593350749632
241,0.8598992556274377
242,0.8616141648015194
243,0.8633041451310767
244,0.8649692917172672
245,0.8666097119788351
246,0.8682255253842985
247,0.8698168631670403
248,0.8713838680243562
249,0.8729266938015535
250,0.8744455051622412
251,0.8759404772459628
252,0.8774117953143598
253,0.8788596543870548
254,0.8802842588684544
255,0.8816858221666717
256,0.8830645663057592
257,0.8844207215324253
258,0.8857545259183967
259,0.887066224959553
260,0.8883560711729396
261,0.8896243236927185
262,0.8908712478660851
263,0.8920971148501383
264,0.8933022012106315
265,0.8944867885234992
266,0.8956511629799896
267,0.8967956149961925
268,0.8979204388276814
269,0.8990259321899516
270,0.9001123958852689
271,0.9011801334364894
272,0.9022294507283587
273,0.9032606556567446
274,0.9042740577861993
275,0.9052699680162017
276,0.9062486982563724
277,0.9072105611109149
278,0.9081558695724782
279,0.9090849367256034
280,0.9099980754598671
281,0.9108955981927948
282,0.9117778166025867
283,0.9126450413706555
284,0.91349758193395
285,0.9143357462470064
286,0.9151598405536393
287,0.91597016916817
288,0.916767034266054
289,0.9175507356837638
290,0.918321570727756
291,0.9190798339923443
292,0.919825817186286
293,0.9205598089678738
294,0.921282094788329
295,0.9219929567432731
296,0.9226926734320589
297,0.9233815198247395
298,0.9240597671364464
299,0.9247276827089588
300,0.9253855298992361
301,0.9260335679747045
302,0.9266720520150752
303,0.927301232820494
304,0.9279213568258169
305,0.9285326660208195
306,0.929135397876157
307,0.929729785274893
308,0.9303160564494356
309,0.9308944349237176
310,0.931465139460477
311,0.932028384013498
312,0.9325843776846849
313,0.9331333246858515
314,0.9336754243051223
315,0.9342108708778408
316,0.9347398537619082
317,0.9352625573174648
318,0.935779160890853
319,0.9362898388027983
320,0.936794760340758
321,0.9372940897553945
322,0.9377879862611359
323,0.9382766040407938
324,0.9387600922542119
325,0.9392385950509333
326,0.9397122515868598
327,0.9401811960449015
328,0.9406455576596021
329,0.9411054607457339
330,0.9415610247308563
331,0.9420123641918303
332,0.942459588895282
333,0.942902803842005
334,0.9433421093152923
335,0.9437776009331782
336,0.9442093697045754
337,0.9446375020892778
338,0.9450620800618039
339,0.9454831811790368
340,0.9459008786516251
341,0.9463152414190835
342,0.9467263342285394
343,0.9471342177170534
344,0.947538948497436
345,0.9479405792474677
346,0.9483391588024306
347,0.9487347322508376
348,0.9491273410332417
349,0.9495170230439959
350,0.9499038127358245
351,0.9502877412270508
352,0.9506688364113279
353,0.9510471230696961
354,0.95142262298479
355,0.951795355057005
356,0.9521653354224273
357,0.9525325775723206
358,0.9528970924739567
359,0.9532588886925714
360,0.9536179725142221
361,0.9539743480693129
362,0.9543280174565568
363,0.954678980867137
364,0.9550272367088275
365,0.955372781729833
366,0.9557156111421053
367,0.9560557187439007
368,0.9563930970413357
369,0.9567277373687106
370,0.9570596300073643
371,0.9573887643028408
372,0.9577151287801422
373,0.958038711256856
374,0.958359498953952
375,0.9586774786040506
376,0.9589926365569759
377,0.9593049588824134
378,0.9596144314695085
379,0.959921040123248
380,0.9602247706574831
381,0.9605256089844575
382,0.9608235412007292
383,0.9611185536693769
384,0.9614106330983967
385,0.9616997666152135
386,0.9619859418372425
387,0.9622691469384467
388,0.9625493707118518
389,0.9628266026279981
390,0.9631008328893145
391,0.9633720524804116
392,0.96364025321432
393,0.9639054277746858
394,0.9641675697539682
395,0.9644266736876891
396,0.9646827350847884
397,0.9649357504541604
398,0.9651857173274445
399,0.965432634278166
400,0.9656765009373116
401,0.965917318005457
402,0.9661550872615409
403,0.9663898115684177
404,0.9666214948753002
405,0.9668501422172204
406,0.9670757597116443
407,0.9672983545523676
408,0.9675179350008327
409,0.967734510375009
410,0.9679480910359656
411,0.9681586883722907
412,0.968366314782489
413,0.9685709836555028
414,0.9687727093494938
415,0.9689715071690274
416,0.9691673933407916
417,0.9693603849879898
418,0.9695505001035364
419,0.9697377575221843
420,0.9699221768917131
421,0.9701037786432928
422,0.9702825839611479
423,0.970458614751636
424,0.9706318936118428
425,0.9708024437978074
426,0.9709702891924752
427,0.971135454273473
428,0.9712979640807995
429,0.9714578441845171
430,0.9716151206525253
431,0.971769820018496
432,0.9719219692500372
433,0.972071595717157
434,0.9722187271610886
435,0.9723633916635314
436,0.9725056176163679
437,0.9726454336918959
438,0.9727828688136313
439,0.9729179521277102
440,0.9730507129749348
441,0.9731811808634935
442,0.973309385442377
443,0.9734353564755267
444,0.9735591238167248
445,0.973680717385252
446,0.9738001671423225
447,0.9739175030683113
448,0.9740327551407797
449,0.974145953313307
450,0.9742571274951323
451,0.974366307531603
452,0.9744735231854366
453,0.9745788041187866
454,0.9746821798761078
455,0.9747836798678194
456,0.9748833333547509
457,0.9749811694333649
458,0.9750772170217444
459,0.9751715048463349
460,0.9752640614294189
461,0.9753549150773251
462,0.9754440938693322
463,0.9755316256472816
464,0.975617538005852
465,0.9757018582835023
466,0.9757846135540498
467,0.9758658306188734
468,0.9759455359997219
469,0.9760237559321018
470,0.9761005163592413
471,0.9761758429265924
472,0.9762497609768661
473,0.9763222955455763
474,0.9763934713570744
475,0.9764633128210528
476,0.9765318440295049
477,0.9765990887541154
478,0.976665070444072
479,0.976729812224269
480,0.9767933368938942
481,0.9768556669253815
482,0.9769168244637019
483,0.9769768313259921
484,0.9770357090014895
485,0.9770934786517678
486,0.9771501611112511
487,0.9772057768879983
488,0.9772603461647336
489,0.9773138888001205
490,0.9773664243302526
491,0.9774179719703596
492,0.9774685506167089
493,0.977518178848691
494,0.977566874931076
495,0.9776146568164359
496,0.9776615421477086
497,0.97770754826091
498,0.977752692187966
499,0.9777969906596665
